,,,,Ist-Versorgung,,,,,,Ausbauprognose 2024,,,,,
,,,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Gigabit-Versorgung
der Wohn- und Gewerbeeinheiten",,,"Glasfaser-Versorgung
der Wohn- und Gewerbeeinheiten",,
"Bezirk
Nummer","Bezirk
Name","LOR
Planungsräume
Nummer","LOR
Planungsräume
Name",Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%),Anzahl,Anteil (%),Veränderung zum Vorjahr (%)
03,Pankow,03400722,Parkstraße, 1 810 , 86.9 , -   , 443 , 21.3 , -   , 2 024 , 97.1 , 10.2 , 1 807 , 86.7 , 65.4 
03,Pankow,03400723,Garbátyplatz, 3 787 , 93.6 , -   , 799 , 19.7 , -   , 4 048 , 100.0 , 6.4 , 4 048 , 100.0 , 80.3 
03,Pankow,03400724,Wolfshagener Straße, 4 439 , 98.8 , -   , 1 802 , 40.1 , -   , 4 492 , 100.0 , 1.2 , 4 492 , 100.0 , 59.9 
03,Pankow,03400725,Schlosspark, 4 018 , 96.1 , -   , 1 495 , 35.7 , -   , 4 058 , 97.0 , 0.9 , 1 642 , 39.3 , 3.6 
03,Pankow,03400826,Tiroler Viertel, 3 826 , 95.5 , -   , 1 154 , 28.8 , -   , 3 831 , 95.6 , 0.1 , 1 160 , 28.9 , 0.1 
03,Pankow,03400827,Trelleborger Viertel, 5 269 , 94.4 , -   , 1 570 , 28.1 , -   , 5 580 , 100.0 , 5.6 , 5 580 , 100.0 , 71.9 
03,Pankow,03400828,Spiekermann Straße, 2 791 , 96.4 , -   , 388 , 13.4 , -   , 2 895 , 100.0 , 3.6 , 2 895 , 100.0 , 86.6 
03,Pankow,03400829,Arnold-Zweig-Straße, 2 942 , 97.5 , -   , 790 , 26.2 , -   , 3 016 , 100.0 , 2.5 , 3 016 , 100.0 , 73.8 
03,Pankow,03400830,Kissingenviertel, 5 679 , 97.4 , -   , 1 359 , 23.3 , -   , 5 829 , 100.0 , 2.6 , 5 829 , 100.0 , 76.7 
03,Pankow,03400831,Pankower Tor, 1 , 33.3 , -   , 1 , 33.3 , -   , 2 , 66.7 , 33.4 , 2 , 66.7 , 33.4 
03,Pankow,03500932,Bühringstraße, 3 256 , 98.2 , -   , 1 890 , 57.0 , -   , 3 256 , 98.2 , -   , 1 890 , 57.0 , -   
03,Pankow,03500933,Weißer See, 3 880 , 89.5 , -   , 420 , 9.7 , -   , 4 335 , 100.0 , 10.5 , 4 335 , 100.0 , 90.3 
03,Pankow,03500934,Weißenseer Spitze, 5 691 , 96.9 , -   , 3 309 , 56.3 , -   , 5 691 , 96.9 , -   , 3 309 , 56.3 , -   
03,Pankow,03500935,Behaimstraße, 3 857 , 99.9 , -   , 3 796 , 98.4 , -   , 3 857 , 99.9 , -   , 3 796 , 98.4 , -   
03,Pankow,03500936,Komponistenviertel Weißensee, 5 345 , 100.0 , -   , 5 339 , 99.9 , -   , 5 345 , 100.0 , -   , 5 339 , 99.9 , -   
03,Pankow,03501037,Rathaus Weißensee, 5 220 , 97.5 , -   , 4 989 , 93.2 , -   , 5 220 , 97.5 , -   , 4 989 , 93.2 , -   
03,Pankow,03501038,Hansastraße, 3 904 , 98.8 , -   , 3 491 , 88.3 , -   , 3 904 , 98.8 , -   , 3 491 , 88.3 , -   
03,Pankow,03601139,Norweger Viertel, 2 347 , 98.9 , -   , 207 , 8.7 , -   , 2 347 , 98.9 , -   , 207 , 8.7 , -   
03,Pankow,03601140,Malmöer Straße, 3 552 , 98.6 , -   , 444 , 12.3 , -   , 3 552 , 98.6 , -   , 444 , 12.3 , -   
03,Pankow,03601141,Arnimplatz, 4 138 , 99.2 , -   , 454 , 10.9 , -   , 4 138 , 99.2 , -   , 454 , 10.9 , -   
03,Pankow,03601142,Falkplatz, 7 045 , 97.9 , -   , 1 072 , 14.9 , -   , 7 045 , 97.9 , -   , 1 072 , 14.9 , -   
03,Pankow,03601243,Rodenbergstraße, 4 761 , 99.5 , -   , 521 , 10.9 , -   , 4 761 , 99.5 , -   , 521 , 10.9 , -   
03,Pankow,03601244,Humannplatz, 4 840 , 100.0 , -   , 514 , 10.6 , -   , 4 840 , 100.0 , -   , 514 , 10.6 , -   
03,Pankow,03601245,Ostseestraße, 8 420 , 99.3 , -   , 742 , 8.8 , -   , 8 420 , 99.3 , -   , 742 , 8.8 , -   
03,Pankow,03601346,Gethsemanekirche, 4 287 , 99.4 , -   , 1 090 , 25.3 , -   , 4 287 , 99.4 , -   , 1 090 , 25.3 , -   
03,Pankow,03601347,Helmholtzplatz, 5 982 , 98.4 , -   , 1 004 , 16.5 , -   , 5 982 , 98.4 , -   , 1 004 , 16.5 , -   
03,Pankow,03601348,Senefelderstraße, 4 900 , 100.0 , -   , 483 , 9.9 , -   , 4 900 , 100.0 , -   , 483 , 9.9 , -   
03,Pankow,03601449,Michelangelostraße, 5 829 , 99.6 , -   , 235 , 4.0 , -   , 5 829 , 99.6 , -   , 235 , 4.0 , -   
03,Pankow,03601450,Volkspark Prenzlauer Berg, 1 855 , 97.7 , -   , 976 , 51.4 , -   , 1 855 , 97.7 , -   , 976 , 51.4 , -   
03,Pankow,03601451,Anton-Saefkow-Park, 3 852 , 98.7 , -   , 1 404 , 36.0 , -   , 3 852 , 98.7 , -   , 1 404 , 36.0 , -   
03,Pankow,03601452,Velodrom, 2 784 , 97.3 , -   , 1 374 , 48.0 , -   , 2 784 , 97.3 , -   , 1 374 , 48.0 , -   
03,Pankow,03601453,Alter Schlachthof, 953 , 74.6 , -   , 403 , 31.6 , -   , 953 , 74.6 , -   , 403 , 31.6 , -   
03,Pankow,03701554,Teutoburger Platz, 7 463 , 95.6 , -   , 1 877 , 24.1 , -   , 7 463 , 95.6 , -   , 1 877 , 24.1 , -   
03,Pankow,03701555,Sredzkistraße, 4 919 , 99.6 , -   , 1 972 , 39.9 , -   , 4 919 , 99.6 , -   , 1 972 , 39.9 , -   
